State or area,County,ANSI Code,Total,Retirement Retired workers,Retirement Spouses,Retirement Children,Survivors Widow(er)s and parents,Survivors Children,Disability Disabled workers,Disability Spouses,Disability Children,Aged 65 or older Men,Aged 65 or older Women
United States,,,"58,048,295","40,662,492","1,343,640","334,405","4,884,520","1,437,963","8,759,959","45,925","579,391","21,573,964","21,319,204"
Alabama,Autauga,1001,"10,224","6,352",226,57,849,322,"2,221",12,186,"3,437","3,279"
Alabama,Baldwin,1003,"46,097","32,376","1,097",251,"3,694","1,005","7,164",39,470,"17,834","15,508"
Alabama,Barbour,1005,"6,213","3,636",107,31,499,186,"1,633",8,115,"1,986","1,858"
Alabama,Bibb,1007,"4,960","2,608",97,31,459,202,"1,442",8,114,"1,475","1,401"
Alabama,Blount,1009,"12,592","7,676",318,74,"1,189",320,"2,787",23,205,"4,279","4,061"
Alabama,Bullock,1011,"1,778","1,009",24,21,137,73,476,0,36,502,553
Alabama,Butler,1013,"4,864","2,935",75,30,417,146,"1,170",5,85,"1,491","1,637"
Alabama,Calhoun,1015,"26,505","15,783",482,155,"2,378",800,"6,423",40,442,"8,135","8,865"
Alabama,Chambers,1017,"9,605","5,738",96,42,619,191,"2,738",8,173,"2,766","3,117"
Alabama,Cherokee,1019,"7,100","4,341",120,29,502,145,"1,827",10,126,"2,381","2,072"
Alabama,Chilton,1021,"9,383","5,399",201,47,902,309,"2,344",14,167,"3,019","2,871"
Alabama,Choctaw,1023,"4,274","2,297",102,41,390,133,"1,207",11,95,"1,380","1,188"
Alabama,Clarke,1025,"6,715","3,933",181,48,584,245,"1,561",17,146,"2,263","2,016"
Alabama,Clay,1027,"3,602","2,178",61,14,263,86,939,4,57,"1,135","1,144"
Alabama,Cleburne,1029,"3,578","2,205",55,15,243,117,878,5,61,"1,167","1,089"
Alabama,Coffee,1031,"10,158","6,643",223,57,845,274,"1,976",10,129,"3,546","3,504"
Alabama,Colbert,1033,"15,425","9,338",408,78,"1,567",415,"3,381",21,218,"5,187","5,135"
Alabama,Conecuh,1035,"3,630","2,026",65,23,265,120,"1,050",5,78,"1,100","1,052"
Alabama,Coosa,1037,"3,110","1,703",52,11,199,90,983,5,67,937,861
Alabama,Covington,1039,"9,743","6,304",151,52,776,242,"2,090",11,117,"3,188","3,418"
Alabama,Crenshaw,1041,"3,356","2,063",52,15,277,101,793,3,51,"1,013","1,128"
Alabama,Cullman,1043,"19,832","12,461",486,111,"1,978",511,"4,013",23,250,"6,763","6,650"
Alabama,Dale,1045,"9,771","5,964",231,63,843,247,"2,259",17,146,"3,300","3,071"
Alabama,Dallas,1047,"9,698","5,354",152,72,774,414,"2,690",18,224,"2,736","2,988"
Alabama,DeKalb,1049,"15,249","9,321",303,96,"1,284",453,"3,555",22,214,"4,915","4,857"
Alabama,Elmore,1051,"16,016","10,368",277,82,"1,245",522,"3,270",12,242,"5,486","5,085"
Alabama,Escambia,1053,"9,176","5,372",207,60,844,282,"2,217",18,175,"2,923","2,997"
Alabama,Etowah,1055,"27,524","15,764",655,182,"2,795",776,"6,835",43,474,"8,550","8,898"
