State or area,County,ANSI Code,Total,Retirement Retired workers,Retirement Spouses,Retirement Children,Survivors Widow(er)s and parents,Survivors Children,Disability Disabled workers,Disability Spouses,Disability Children,Aged 65 or older Men,Aged 65 or older Women,,
United States,,,"54,031,968","34,593,080","2,316,536","579,859","4,445,547","1,912,789","8,203,951","160,300","1,819,906","16,195,967","21,095,605",,
Alabama,Autauga,01001,"10,050","5,540",385,95,845,435,"2,115",45,590,"2,595","3,430",,
Alabama,Baldwin,01003,"42,065","27,340","1,745",415,"3,290","1,310","6,455",140,"1,365","12,970","15,610",,
Alabama,Barbour,01005,"6,670","3,440",195,65,570,305,"1,640",35,420,"1,625","2,130",,
Alabama,Bibb,01007,"5,180","2,360",175,55,505,280,"1,400",30,375,"1,155","1,525",,
Alabama,Blount,01009,"12,285","6,765",555,125,"1,155",430,"2,560",80,615,"3,275","4,290",,
Alabama,Bullock,01011,"2,035","1,005",50,40,170,120,515,0,135,455,640,,
Alabama,Butler,01013,"5,230","2,800",140,55,480,220,"1,200",25,310,"1,245","1,825",,
Alabama,Calhoun,01015,"27,935","15,015",905,275,"2,490","1,140","6,495",130,"1,485","6,780","9,650",,
Alabama,Chambers,01017,"9,360","5,170",175,65,650,285,"2,460",25,530,"2,185","3,185",,
Alabama,Cherokee,01019,"7,110","3,940",220,55,535,210,"1,720",40,390,"1,880","2,240",,
Alabama,Chilton,01021,"9,310","4,780",355,80,900,435,"2,215",45,500,"2,320","3,055",,
Alabama,Choctaw,01023,"4,255","2,025",175,60,420,195,"1,085",35,260,"1,040","1,330",,
Alabama,Clarke,01025,"6,790","3,415",310,85,625,355,"1,455",60,485,"1,670","2,225",,
Alabama,Clay,01027,"3,780","2,090",115,20,285,125,930,15,200,975,"1,265",,
Alabama,Cleburne,01029,"3,730","2,115",110,30,275,160,835,20,185,980,"1,220",,
Alabama,Coffee,01031,"10,355","6,150",395,100,850,375,"1,985",40,465,"2,815","3,835",,
Alabama,Colbert,01033,"14,680","7,875",670,130,"1,455",560,"3,230",75,685,"3,785","5,195",,
Alabama,Conecuh,01035,"3,895","1,930",125,45,295,190,"1,020",25,265,930,"1,180",,
Alabama,Coosa,01037,"3,140","1,570",90,20,215,125,915,15,190,750,930,,
Alabama,Covington,01039,"10,205","6,090",275,85,820,355,"2,115",50,415,"2,705","3,760",,
Alabama,Crenshaw,01041,"3,665","2,050",100,30,315,150,830,15,175,900,"1,280",,
Alabama,Cullman,01043,"19,615","11,165",860,185,"1,975",700,"3,825",85,820,"5,250","7,140",,
Alabama,Dale,01045,"10,365","5,620",420,110,910,380,"2,335",60,530,"2,680","3,480",,
Alabama,Dallas,01047,"10,895","5,155",290,145,910,670,"2,840",70,815,"2,325","3,355",,
Alabama,DeKalb,01049,"15,890","8,800",585,165,"1,355",650,"3,510",70,755,"4,080","5,390",,
Alabama,Elmore,01051,"15,505","9,050",470,140,"1,240",735,"3,075",40,755,"4,190","5,230",,
Alabama,Escambia,01053,"9,325","4,880",350,105,855,395,"2,140",60,540,"2,295","3,205",,
Alabama,Etowah,01055,"26,905","13,665","1,105",295,"2,650","1,080","6,485",125,"1,500","6,450","9,090",,
Alabama,Fayette,01057,"5,195","2,835",165,40,420,200,"1,205",25,305,"1,290","1,745",,
Alabama,Franklin,01059,"7,430","4,045",315,55,725,260,"1,615",35,385,"1,920","2,595",,
Alabama,Geneva,01061,"7,105","4,120",200,65,595,230,"1,555",40,300,"1,895","2,530",,
Alabama,Greene,01063,"2,435","1,060",70,35,225,130,685,15,215,520,710,,
Alabama,Hale,01065,"4,320","1,880",115,50,375,260,"1,250",15,375,900,"1,195",,
Alabama,Henry,01067,"4,575","2,575",125,50,380,180,"1,065",15,185,"1,160","1,575",,
Alabama,Houston,01069,"22,550","13,085",705,220,"1,890",830,"4,685",80,"1,055","5,905","8,180",,
Alabama,Jackson,01071,"13,555","7,725",515,120,"1,240",520,"2,795",75,565,"3,645","4,720",,
Alabama,Jefferson,01073,"131,660","71,855","4,680","1,610","12,830","6,275","27,780",345,"6,280","31,865","48,595",,
Alabama,Lamar,01075,"4,275","2,480",95,35,310,135,975,25,220,"1,090","1,475",,
Alabama,Lauderdale,01077,"22,270","12,835","1,175",170,"2,100",740,"4,260",90,895,"6,125","8,250",,
Alabama,Lawrence,01079,"8,290","4,360",430,70,780,330,"1,880",50,390,"2,145","2,665",,
Alabama,Lee,01081,"19,975","11,275",550,180,"1,470",940,"4,390",70,"1,100","5,060","6,610",,
Alabama,Limestone,01083,"15,575","9,005",705,150,"1,405",600,"2,975",75,660,"4,230","5,360",,
Alabama,Lowndes,01085,"2,945","1,390",80,45,240,140,815,10,225,665,855,,
Alabama,Macon,01087,"4,560","2,475",100,55,385,275,"1,020",15,230,"1,075","1,550",,
Alabama,Madison,01089,"53,945","34,260","2,370",485,"4,575","2,090","8,325",115,"1,725","15,545","21,395",,
Alabama,Marengo,01091,"5,880","2,845",205,90,495,250,"1,500",40,455,"1,395","1,795",,
Alabama,Marion,01093,"7,930","4,560",250,60,585,235,"1,815",35,390,"2,050","2,770",,
Alabama,Marshall,01095,"20,645","11,820",815,165,"1,910",720,"4,205",85,925,"5,475","7,310",,
Alabama,Mobile,01097,"82,220","43,875","3,420","1,120","8,145","4,470","16,805",470,"3,920","20,415","29,030",,
Alabama,Monroe,01099,"5,690","2,965",175,80,460,255,"1,335",35,385,"1,340","1,875",,
Alabama,Montgomery,01101,"41,170","23,420","1,185",455,"3,335","2,050","8,395",105,"2,225","10,135","15,080",,
Alabama,Morgan,01103,"25,445","15,050","1,075",245,"2,365",935,"4,730",115,935,"7,000","9,265",,
Alabama,Perry,01105,"2,865","1,360",85,35,235,155,750,10,235,635,895,,
Alabama,Pickens,01107,"5,405","2,750",125,50,445,210,"1,420",30,375,"1,245","1,765",,
Alabama,Pike,01109,"6,420","3,605",165,60,520,310,"1,440",20,300,"1,645","2,200",,
Alabama,Randolph,01111,"5,880","3,475",135,55,410,215,"1,270",25,295,"1,515","2,025",,
Alabama,Russell,01113,"11,155","6,195",310,110,"1,020",495,"2,465",45,520,"2,770","3,915",,
Alabama,St. Clair,01115,"16,700","9,095",660,150,"1,555",650,"3,600",90,895,"4,380","5,540",,
Alabama,Shelby,01117,"30,000","18,810","1,375",270,"2,430","1,075","4,830",65,"1,145","8,775","11,160",,
Alabama,Sumter,01119,"3,225","1,485",85,40,325,170,865,15,240,690,"1,035",,
Alabama,Talladega,01121,"19,985","9,815",535,180,"1,585",720,"5,830",70,"1,250","4,535","6,130",,
Alabama,Tallapoosa,01123,"11,310","6,345",220,85,690,335,"2,865",30,740,"2,745","3,775",,
Alabama,Tuscaloosa,01125,"35,125","18,175","1,040",355,"2,795","1,750","8,740",145,"2,125","8,190","11,545",,
Alabama,Walker,01127,"19,635","9,135",865,195,"2,090",970,"5,075",135,"1,170","4,590","6,255",,
Alabama,Washington,01129,"4,385","2,140",215,85,410,215,"1,005",35,280,"1,115","1,340",,
Alabama,Wilcox,01131,"3,570","1,420",110,85,325,260,955,30,385,705,950,,
Alabama,Winston,01133,"6,530","3,485",265,50,640,215,"1,485",45,345,"1,680","2,205",,
Alaska,Aleutians East,02013,150,100,5,0,15,10,20,0,0,60,40,,
