State or area,County,ANSI Code,Total,Retirement Retired workers,Retirement Spouses,Retirement Children,Survivors Widow(er)s and parents,Survivors Children,Disability Disabled workers,Disability Spouses,Disability Children,Aged 65 or older Men,Aged 65 or older Women
United States,,,"64,850,867","46,329,595","2,324,030","704,207","3,938,577","1,936,071","8,151,016","104,014","1,363,357","22,310,264","27,516,391"
Alabama,Autauga,01001,"12,300","7,610",280,135,825,480,"2,455",30,485,"3,525","4,635"
Alabama,Baldwin,01003,"60,305","44,075","1,670",530,"3,675","1,555","7,520",115,"1,165","21,020","25,280"
Alabama,Barbour,01005,"7,160","4,415",155,85,480,300,"1,460",15,250,"2,105","2,660"
Alabama,Bibb,01007,"5,440","3,055",140,60,395,275,"1,270",20,225,"1,515","1,850"
Alabama,Blount,01009,"13,915","8,815",440,145,995,440,"2,590",50,440,"4,300","5,315"
Alabama,Bullock,01011,"2,180","1,275",25,40,130,95,515,5,95,580,755
Alabama,Butler,01013,"5,515","3,375",100,60,370,275,"1,120",15,200,"1,535","2,090"
Alabama,Calhoun,01015,"30,370","18,635",645,325,"2,045","1,165","6,385",80,"1,090","8,600","11,315"
Alabama,Chambers,01017,"9,800","6,090",125,80,530,285,"2,315",25,350,"2,770","3,625"
Alabama,Cherokee,01019,"8,140","5,175",150,55,495,230,"1,700",30,305,"2,535","2,845"
Alabama,Chilton,01021,"10,705","6,480",265,120,810,355,"2,200",40,435,"3,115","3,885"
Alabama,Choctaw,01023,"4,245","2,405",125,50,325,145,985,20,190,"1,220","1,515"
Alabama,Clarke,01025,"7,235","4,085",225,105,540,325,"1,570",40,345,"2,005","2,575"
Alabama,Clay,01027,"4,045","2,530",70,30,265,130,875,5,140,"1,165","1,525"
Alabama,Cleburne,01029,"3,995","2,585",75,50,285,135,725,15,125,"1,235","1,480"
Alabama,Coffee,01031,"11,995","7,900",305,125,770,415,"2,045",25,410,"3,675","4,690"
Alabama,Colbert,01033,"15,560","9,730",450,165,"1,170",545,"3,025",35,440,"4,520","6,060"
Alabama,Conecuh,01035,"3,880","2,235",90,45,245,160,940,15,150,"1,105","1,360"
Alabama,Coosa,01037,"2,990","1,765",50,20,140,110,765,10,130,895,985
Alabama,Covington,01039,"11,020","7,225",165,110,695,355,"2,100",30,340,"3,350","4,220"
Alabama,Crenshaw,01041,"4,015","2,580",65,35,240,155,785,10,145,"1,200","1,520"
Alabama,Cullman,01043,"22,435","14,485",635,245,"1,635",800,"3,950",65,620,"6,880","8,780"
Alabama,Dale,01045,"12,025","7,365",260,120,845,415,"2,530",35,455,"3,505","4,395"
Alabama,Dallas,01047,"11,030","6,255",175,160,700,630,"2,635",30,445,"2,885","3,785"
Alabama,DeKalb,01049,"17,745","11,325",420,220,"1,140",670,"3,355",45,570,"5,360","6,580"
Alabama,Elmore,01051,"19,930","12,940",390,200,"1,125",820,"3,645",25,785,"6,000","7,535"
Alabama,Escambia,01053,"9,830","5,905",265,110,755,375,"2,000",25,395,"2,775","3,750"
